ticker,company_name,decision,reason,total_qa_rows
GRWG,GROWGENERATION CORP,NOT_FOUND,No ESG report found for this company,1
HBB,HAMILTON BEACH BND HDNG,NOT_FOUND,No ESG report found for this company,1
HD,HOME DEPOT INC,ACCEPT,Clean QA pass,4
HOFT,HOOKER FURNISHINGS CORP,ACCEPT,Clean QA pass,2
HOUR,HOUR LOOP INC,NOT_FOUND,No ESG report found for this company,1
HVT,HAVERTY FURNITURE,ACCEPT,Clean QA pass,1
HZO,MARINEMAX INC,NOT_FOUND,No ESG report found for this company,1
IMKTA,INGLES MARKETS INC  -CL A,NOT_FOUND,No ESG report found for this company,1
JILL,J JILL INC,ACCEPT,Clean QA pass,1
JRSH,JERASH HOLDINGS (US),NOT_FOUND,No ESG report found for this company,1
JWN,NORDSTROM INC,ACCEPT,Clean QA pass,4
KMX,CARMAX INC,ACCEPT,Clean QA pass,6
KOSS,KOSS CORP,NOT_FOUND,No ESG report found for this company,1
KR,KROGER CO,ACCEPT,Clean QA pass,5
KSS,KOHL'S CORP,ACCEPT,Clean QA pass,3
