ticker,filename,size_bytes,status
LESL,0000950170-23-066773.htm,2611397,ok
LESL,0000950170-24-131476.htm,2842476,ok
LESL,0001193125-25-323811.htm,3204971,ok
LEVI,0000094845-24-000010.htm,3547797,ok
LEVI,0000094845-25-000005.htm,3625914,ok
LEVI,0000094845-26-000008.htm,3728842,ok
LIVE,0001628280-23-042586.htm,2726640,ok
LIVE,0001628280-24-052099.htm,2791623,ok
LIVE,0001628280-25-057711.htm,2661021,ok
LOVE,0001628280-24-015804.htm,1497795,ok
LOVE,0001628280-25-017241.htm,1467654,ok
LOVE,0001628280-26-022929.htm,1485258,ok
LOW,0000060667-24-000033.htm,2404089,ok
LOW,0000060667-25-000049.htm,2343216,ok
LOW,0000060667-26-000029.htm,2487558,ok
LULU,0001397187-24-000010.htm,2534554,ok
LULU,0001397187-25-000013.htm,2396120,ok
LULU,0001397187-26-000020.htm,2341775,ok
LVLU,0001104659-26-036884.htm,2564767,ok
LVLU,0001558370-24-002599.htm,2725436,ok
LVLU,0001558370-25-003845.htm,2727091,ok
LZB,0000057131-24-000028.htm,2101235,ok
LZB,0000057131-25-000029.htm,2138974,ok
LZB,0000057131-26-000019.htm,2158070,ok
M,0001628280-24-012734.htm,2198613,ok
M,0001628280-25-014315.htm,2171124,ok
M,0001628280-26-021721.htm,2207687,ok
MELI,0001099590-24-000008.htm,4170174,ok
MELI,0001099590-25-000007.htm,4618392,ok
MELI,0001099590-26-000006.htm,4348564,ok
MGRX,0001493152-24-012508.htm,2300862,ok
MGRX,0001493152-26-014478.htm,4069986,ok
MGRX,0001641172-25-000085.htm,3667685,ok
MHK,0000851968-24-000027.htm,2412578,ok
MHK,0000851968-25-000023.htm,2451058,ok
MHK,0000851968-26-000011.htm,2559297,ok
MNRO,0000876427-26-000007.htm,6229785,ok
MNRO,0001562762-24-000155.htm,5897362,ok
MNRO,0001562762-25-000146.htm,6083685,ok
MOV,0000950170-24-036181.htm,3813546,ok
MOV,0000950170-25-054522.htm,9130426,ok
MOV,0001193125-26-115298.htm,4872948,ok
MSS,0001213900-23-061379.htm,1421097,ok
MSS,0001213900-24-068336.htm,1521095,ok
MSS,0001213900-25-075991.htm,1578038,ok
MUSA,0001573516-24-000007.htm,2253586,ok
MUSA,0001573516-25-000010.htm,2147076,ok
MUSA,0001573516-26-000090.htm,2105588,ok
NGVC,0001437749-23-033880.htm,1671285,ok
NGVC,0001437749-24-037351.htm,1891292,ok
NGVC,0001437749-25-037556.htm,1987620,ok
NKE,0000320187-23-000039.htm,2688110,ok
NKE,0000320187-24-000044.htm,2651098,ok
NKE,0000320187-25-000047.htm,2790543,ok
NWL,0000814453-24-000017.htm,2845598,ok
NWL,0000814453-25-000008.htm,2914460,ok
NWL,0000814453-26-000008.htm,2591759,ok
OLLI,0001140361-24-015681.htm,2099912,ok
OLLI,0001140361-25-010442.htm,2237820,ok
OLLI,0001140361-26-010409.htm,1794492,ok
ONEW,0001772921-23-000087.htm,2543611,ok
ONEW,0001772921-24-000101.htm,2559491,ok
ONEW,0001772921-25-000085.htm,2514345,ok
ORBS,0001493152-24-012608.htm,2089141,ok
ORBS,0001493152-26-016664.htm,2482572,ok
ORBS,0001641172-25-004802.htm,2162789,ok
ORLY,0000898173-24-000009.htm,2998175,ok
ORLY,0000898173-25-000008.htm,3054691,ok
ORLY,0000898173-26-000009.htm,3181879,ok
OXM,0000075288-24-000003.htm,3524808,ok
OXM,0000075288-25-000033.htm,2351594,ok
OXM,0000075288-26-000026.htm,2419039,ok
PAG,0001019849-24-000033.htm,2629915,ok
PAG,0001019849-25-000022.htm,2561892,ok
PAG,0001628280-26-012830.htm,2664487,ok
PETS,0001040130-24-000046.htm,1536021,ok
PETS,0001040130-25-000072.htm,2416636,ok
PETS,0001040130-26-000019.htm,1646293,ok
PEW,0001193125-26-104172.htm,3793158,ok
PLBY,0001628280-26-018238.htm,2286888,ok
PLBY,0001803914-24-000022.htm,2362253,ok
PLBY,0001803914-25-000030.htm,2407432,ok
PLCE,0001628280-24-020436.htm,1961703,ok
PLCE,0001628280-25-018195.htm,2045266,ok
PLCE,0001628280-26-024672.htm,2082906,ok
POWW,0000950170-25-086893.htm,3738709,ok
POWW,0001193125-26-276653.htm,3786392,ok
POWW,0001493152-24-023731.htm,2137934,ok
PRPL,0001213900-24-021861.htm,1805697,ok
PRPL,0001213900-25-023815.htm,1894901,ok
PRPL,0001213900-26-036974.htm,1647984,ok
PRTS,0001378950-24-000034.htm,2157067,ok
PRTS,0001378950-25-000036.htm,1942141,ok
PRTS,0001378950-26-000035.htm,2031463,ok
PSMT,0001041803-23-000054.htm,2951986,ok
PSMT,0001041803-24-000044.htm,2944498,ok
PSMT,0001041803-25-000060.htm,2845038,ok
PTRN,0001811935-26-000013.htm,1915496,ok
PVH,0000078239-24-000013.htm,3293945,ok
PVH,0000078239-25-000018.htm,3117500,ok
PVH,0000078239-26-000021.htm,2981916,ok
RCKY,0001437749-24-007987.htm,1851166,ok
RCKY,0001437749-25-008025.htm,1869683,ok
RCKY,0001437749-26-007634.htm,1627732,ok
RDNW,0001596961-24-000021.htm,1772954,ok
RDNW,0001596961-25-000024.htm,1685184,ok
RDNW,0001596961-26-000015.htm,1744439,ok
REAL,0001573221-24-000030.htm,1837620,ok
REAL,0001573221-25-000013.htm,1937043,ok
REAL,0001573221-26-000010.htm,2008301,ok
REBN,0001213900-24-026917.htm,1026368,ok
REBN,0001213900-25-026307.htm,1183856,ok
REBN,0001213900-26-046490.htm,1314275,ok
RENT,0001468327-24-000114.htm,1972184,ok
RENT,0001468327-25-000056.htm,1808601,ok
RENT,0001468327-26-000020.htm,2010083,ok
RH,0001104659-26-037992.htm,4473120,ok
RH,0001558370-24-004248.htm,4478986,ok
RH,0001558370-25-004329.htm,4645351,ok
RIME,0001493152-23-024594.htm,2053122,ok
RIME,0001493152-26-014724.htm,2320037,ok
RIME,0001641172-25-004792.htm,1935199,ok
RL,0001037038-24-000014.htm,3086633,ok
RL,0001037038-25-000011.htm,3084873,ok
RL,0001628280-26-037074.htm,2788050,ok
ROST,0000745732-24-000009.htm,1379951,ok
ROST,0000745732-25-000010.htm,1416432,ok
ROST,0000745732-26-000006.htm,1465573,ok
RVLV,0000950170-24-021244.htm,2854921,ok
RVLV,0000950170-25-026748.htm,3546558,ok
RVLV,0001193125-26-071307.htm,4034572,ok
SAH,0001043509-24-000022.htm,3462458,ok
SAH,0001043509-25-000003.htm,3635691,ok
SAH,0001628280-26-010570.htm,3589252,ok
SBH,0000950170-23-064558.htm,4618991,ok
SBH,0000950170-24-127217.htm,3552062,ok
SBH,0001193125-25-280122.htm,4518951,ok
SFIX,0001576942-23-000114.htm,1825562,ok
SFIX,0001576942-24-000099.htm,1849949,ok
SFIX,0001628280-25-042782.htm,1877465,ok
SFM,0000950170-24-018768.htm,3343218,ok
SFM,0001575515-25-000011.htm,1811980,ok
SFM,0001575515-26-000008.htm,1809708,ok
SGC,0001437749-24-007685.htm,1885486,ok
SGC,0001437749-25-007055.htm,1604438,ok
SGC,0001437749-26-006653.htm,1655683,ok
SGI,0001206264-24-000050.htm,2685081,ok
SGI,0001206264-25-000058.htm,2621315,ok
SGI,0001206264-26-000015.htm,2804580,ok
SHOE,0000950170-24-035337.htm,2603292,ok
SHOE,0000950170-25-043195.htm,3253767,ok
SHOE,0001193125-26-126279.htm,3654872,ok
SHOO,0001628280-24-008331.htm,2087661,ok
SHOO,0001628280-25-009503.htm,2240402,ok
SHOO,0001628280-26-012995.htm,2391948,ok
SNBR,0000827187-24-000011.htm,1957398,ok
SNBR,0000827187-25-000018.htm,4309359,ok
SNBR,0000827187-26-000014.htm,3560267,ok
SONO,0000950170-23-065135.htm,3399834,ok
SONO,0001314727-24-000026.htm,1754446,ok
SONO,0001314727-25-000090.htm,1764498,ok
SPWH,0000950170-24-041618.htm,2383669,ok
SPWH,0000950170-25-048890.htm,3001502,ok
SPWH,0001193125-26-134702.htm,3344567,ok
SVV,0001883313-24-000013.htm,2699304,ok
SVV,0001883313-25-000013.htm,2111011,ok
SVV,0001883313-26-000014.htm,2153186,ok
T,0000732717-24-000009.htm,4360250,ok
T,0000732717-25-000013.htm,4064545,ok
T,0000732717-26-000120.htm,3931782,ok
TDUP,0001484778-24-000035.htm,1586789,ok
TDUP,0001484778-25-000023.htm,1536997,ok
TDUP,0001484778-26-000007.htm,1466196,ok
TGT,0000027419-24-000032.htm,1930274,ok
TGT,0000027419-25-000018.htm,2023702,ok
TGT,0000027419-26-000016.htm,2059294,ok
TJX,0000109198-24-000014.htm,2313084,ok
TJX,0000109198-25-000010.htm,2338219,ok
TJX,0000109198-26-000008.htm,2326381,ok
TLF,0001140361-24-014799.htm,1306920,ok
TLF,0001140361-25-006103.htm,1308710,ok
TLF,0001140361-26-006550.htm,1208026,ok
TLYS,0001628280-24-015839.htm,1582764,ok
TLYS,0001628280-25-017352.htm,1604102,ok
TLYS,0001628280-26-024440.htm,1576387,ok
TPR,0001116132-23-000020.htm,2831680,ok
TPR,0001116132-24-000018.htm,2808168,ok
TPR,0001116132-25-000019.htm,2962963,ok
TSCO,0000916365-24-000046.htm,1838973,ok
TSCO,0000916365-25-000076.htm,1797639,ok
TSCO,0000916365-26-000014.htm,1811335,ok
UAA,0001336917-24-000073.htm,3095407,ok
UAA,0001336917-25-000078.htm,2364472,ok
UAA,0001336917-26-000073.htm,2446740,ok
UEIC,0000101984-24-000048.htm,2010099,ok
UEIC,0000101984-25-000038.htm,2007569,ok
UEIC,0000101984-26-000039.htm,2132573,ok
ULTA,0001104659-26-035243.htm,2974678,ok
ULTA,0001558370-24-003941.htm,2905561,ok
ULTA,0001558370-25-003810.htm,2914231,ok
UPBD,0000933036-24-000048.htm,2245322,ok
UPBD,0000933036-25-000042.htm,2192442,ok
UPBD,0000933036-26-000008.htm,2288351,ok
URBN,0000950170-24-039320.htm,3206824,ok
URBN,0000950170-25-048506.htm,4104114,ok
URBN,0001193125-26-137916.htm,4451373,ok
VFC,0000103379-24-000008.htm,3575958,ok
VFC,0000103379-25-000023.htm,3737834,ok
VFC,0000103379-26-000030.htm,3915667,ok
VLGEA,0000103595-23-000014.htm,1378676,ok
VLGEA,0000103595-24-000019.htm,1255451,ok
VLGEA,0000103595-25-000015.htm,1282484,ok
VNCE,0000950170-24-052254.htm,2785999,ok
VNCE,0000950170-25-062847.htm,3418189,ok
VNCE,0001193125-26-158986.htm,3356928,ok
VRA,0001495320-24-000026.htm,1863432,ok
VRA,0001495320-25-000019.htm,1865854,ok
VRA,0001628280-26-021640.htm,1852692,ok
VSXY,0001856437-24-000005.htm,2067940,ok
VSXY,0001856437-25-000006.htm,1909518,ok
VSXY,0001856437-26-000004.htm,1923559,ok
VVV,0001674910-23-000125.htm,2609247,ok
VVV,0001674910-24-000152.htm,2428789,ok
VVV,0001674910-25-000135.htm,2328817,ok
VZ,0000732712-24-000010.htm,3835518,ok
VZ,0000732712-25-000006.htm,3941299,ok
VZ,0000732712-26-000007.htm,3989586,ok
W,0001616707-24-000014.htm,2165681,ok
W,0001616707-25-000022.htm,2210275,ok
W,0001616707-26-000027.htm,2269078,ok
WHR,0000106640-24-000020.htm,3279568,ok
WHR,0000106640-25-000011.htm,3230375,ok
WHR,0000106640-26-000009.htm,3167275,ok
WINA,0000908315-24-000010.htm,1966054,ok
WINA,0000908315-25-000010.htm,1912963,ok
WINA,0000908315-26-000007.htm,1980355,ok
WMK,0000105418-24-000015.htm,1792659,ok
WMK,0000105418-25-000014.htm,2015749,ok
WMK,0000105418-26-000024.htm,3243962,ok
WMT,0000104169-24-000056.htm,2323877,ok
WMT,0000104169-25-000021.htm,2335078,ok
WMT,0000104169-26-000055.htm,2323981,ok
WOOF,0000950170-24-040516.htm,3175297,ok
WOOF,0000950170-25-047693.htm,3958415,ok
WOOF,0001193125-26-106114.htm,3994261,ok
WRBY,0001504776-24-000006.htm,1930497,ok
WRBY,0001504776-25-000010.htm,1770288,ok
WRBY,0001504776-26-000006.htm,1743611,ok
WSM,0000719955-26-000059.htm,1370806,ok
WSM,0001628280-24-012221.htm,1369212,ok
WSM,0001628280-25-015037.htm,1498165,ok
WWW,0000110471-24-000057.htm,2291116,ok
WWW,0000110471-25-000046.htm,2258428,ok
WWW,0001628280-26-012614.htm,2308705,ok
XELB,0001104659-26-043348.htm,2994506,ok
XELB,0001558370-24-005326.htm,2591639,ok
XELB,0001558370-25-008172.htm,2765366,ok
