ticker,drive_folder_id,drive_folder_url,pdf_file,drive_file_id,drive_file_url,size_bytes
AEO,1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,https://drive.google.com/drive/folders/1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,AEO-AMERICAN EAGLE OUTFITTERS INC-2022.pdf,1ClOl3sXp5ior6-WKk2Yc79n35FoQsvBn,https://drive.google.com/file/d/1ClOl3sXp5ior6-WKk2Yc79n35FoQsvBn/view,51543926
AEO,1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,https://drive.google.com/drive/folders/1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,AEO-AMERICAN EAGLE OUTFITTERS INC-2023.pdf,1zNUVuuIWEXmUSyvG3eAla8krTwKwhP5U,https://drive.google.com/file/d/1zNUVuuIWEXmUSyvG3eAla8krTwKwhP5U/view,4901540
AEO,1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,https://drive.google.com/drive/folders/1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,AEO-AMERICAN EAGLE OUTFITTERS INC-2024.pdf,1lQ64JR__oP3XiHgMQW0D9NvsKqnjNcdq,https://drive.google.com/file/d/1lQ64JR__oP3XiHgMQW0D9NvsKqnjNcdq/view,5175036
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,AMZN-Amazon-2021.pdf,19JpVuhlCRUNKMHNoPoCKK36b83rXUuAV,https://drive.google.com/file/d/19JpVuhlCRUNKMHNoPoCKK36b83rXUuAV/view,15390742
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,AMZN-Amazon-2022.pdf,1c9sN5m7MqCAOfR-NMlCqLhfUz4Ngx_GJ,https://drive.google.com/file/d/1c9sN5m7MqCAOfR-NMlCqLhfUz4Ngx_GJ/view,8330454
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,AMZN-Amazon-2023.pdf,1U2vRvON8byh7yg06_cpCrJvaO7R5My7u,https://drive.google.com/file/d/1U2vRvON8byh7yg06_cpCrJvaO7R5My7u/view,15753155
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,AMZN-Amazon-2024.pdf,16QvxI5CQkkwc9aQSZbFqG-G97WId0yTD,https://drive.google.com/file/d/16QvxI5CQkkwc9aQSZbFqG-G97WId0yTD/view,7038949
AMZN,16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,https://drive.google.com/drive/folders/16oZVfVBirTZNX4ndsGTxq_mnAuG3MkUJ,AMZN-Amazon-2025.pdf,1x1FJeiREWjzg7BS70_fkRk-WsuihD-mV,https://drive.google.com/file/d/1x1FJeiREWjzg7BS70_fkRk-WsuihD-mV/view,8513830
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,AN-AUTONATION INC-2021.pdf,1r1knWJ43Vuwk3gMHESizfN4saKewsFCM,https://drive.google.com/file/d/1r1knWJ43Vuwk3gMHESizfN4saKewsFCM/view,2667907
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,AN-AUTONATION INC-2022.pdf,1K299eYxJ-QqmD6RHV_LWZHQCKHJ0QO6e,https://drive.google.com/file/d/1K299eYxJ-QqmD6RHV_LWZHQCKHJ0QO6e/view,20422649
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,AN-AUTONATION INC-2023.pdf,1FBmpdjy6uxwJMStDjfbR0opDhJ5RipSW,https://drive.google.com/file/d/1FBmpdjy6uxwJMStDjfbR0opDhJ5RipSW/view,15855566
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,AN-AUTONATION INC-2024.pdf,13HiEdwFOvz1frdC-JKQIeWxno_p7kJS5,https://drive.google.com/file/d/13HiEdwFOvz1frdC-JKQIeWxno_p7kJS5/view,24938717
AN,1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,https://drive.google.com/drive/folders/1tU46wrkfyWLPRifvk4gveZbkyNbG1caG,AN-AUTONATION INC-2025.pdf,1MR1jO4ksIizTjhwcZOs8CV7KCSO6AcU_,https://drive.google.com/file/d/1MR1jO4ksIizTjhwcZOs8CV7KCSO6AcU_/view,6446624
ARKO,1e1rSevZqny_wTp6Soya8MmZW_705_BTA,https://drive.google.com/drive/folders/1e1rSevZqny_wTp6Soya8MmZW_705_BTA,ARKO-ARKO CORP-2021.pdf,1lLkDa82i-ro9WxnekXoMbcWFrBdIFAH0,https://drive.google.com/file/d/1lLkDa82i-ro9WxnekXoMbcWFrBdIFAH0/view,9324735
ARKO,1e1rSevZqny_wTp6Soya8MmZW_705_BTA,https://drive.google.com/drive/folders/1e1rSevZqny_wTp6Soya8MmZW_705_BTA,ARKO-ARKO CORP-2022.pdf,1eXFWLByiAYb7VHUZb9w2BZiqq-enVpr7,https://drive.google.com/file/d/1eXFWLByiAYb7VHUZb9w2BZiqq-enVpr7/view,17829112
ARKO,1e1rSevZqny_wTp6Soya8MmZW_705_BTA,https://drive.google.com/drive/folders/1e1rSevZqny_wTp6Soya8MmZW_705_BTA,ARKO-ARKO CORP-2023.pdf,1j-JpoSWQsqWSyJkNEpJKHELD_9tpalyW,https://drive.google.com/file/d/1j-JpoSWQsqWSyJkNEpJKHELD_9tpalyW/view,8951949
ARKO,1e1rSevZqny_wTp6Soya8MmZW_705_BTA,https://drive.google.com/drive/folders/1e1rSevZqny_wTp6Soya8MmZW_705_BTA,ARKO-ARKO CORP-2024.pdf,1zW5Jc326-GrdO4I04Wz5BpXEypV1RkT7,https://drive.google.com/file/d/1zW5Jc326-GrdO4I04Wz5BpXEypV1RkT7/view,24432549
ASO,1jhkV1QFaZ-lyioVUqGqYS5Vh-k3pHhhx,https://drive.google.com/drive/folders/1jhkV1QFaZ-lyioVUqGqYS5Vh-k3pHhhx,ASO-ACADEMY SPO AND OU INC-2021.pdf,1QKf-LFFsaFWpX5KigjyZu2RT91GUxRAx,https://drive.google.com/file/d/1QKf-LFFsaFWpX5KigjyZu2RT91GUxRAx/view,26072804
AZO,1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW,https://drive.google.com/drive/folders/1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW,AZO-AUTOZONE INC-2021.pdf,1fB4xFWjjqWYP-jf_YXDa12ziTRClHDkP,https://drive.google.com/file/d/1fB4xFWjjqWYP-jf_YXDa12ziTRClHDkP/view,23008803
AZO,1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW,https://drive.google.com/drive/folders/1vQNIcVvTVzKxzXNNlyS_ObzbnK9P6nIW,AZO-AUTOZONE INC-2022.pdf,1pszA3PVWjiXHIpsLZzhbROLEdaw3Y4Bg,https://drive.google.com/file/d/1pszA3PVWjiXHIpsLZzhbROLEdaw3Y4Bg/view,69339167
