logical_source_id,source_version_id,extraction_artifact_id,ticker,pdf_stem,page,source_page_sha256,before_text_sha256,after_text_sha256,detection_signal,action,verification_result,ocr_engine,created_at,active
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),24,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),27,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),29,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),71,ec5cb64aa1666a7ab77c23ba26a1624bdc4cf61365bbccf71c0a28fc490da240,ec5cb64aa1666a7ab77c23ba26a1624bdc4cf61365bbccf71c0a28fc490da240,ec5cb64aa1666a7ab77c23ba26a1624bdc4cf61365bbccf71c0a28fc490da240,garbled_or_low_readable_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),83,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,2,1b0656f9ec07b9188e5d0371d8a38b68328e53ca8106dbf62ce4c5668374beaa,1b0656f9ec07b9188e5d0371d8a38b68328e53ca8106dbf62ce4c5668374beaa,71e63e4a839f96cc1d59d29d0e4561621acd4cc08462939a8c30be5fa0cf5310,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,3,a15e864279a0b395571be2fd51d6aa92999ac16de3732d08cc6ebd44bac30fb6,a15e864279a0b395571be2fd51d6aa92999ac16de3732d08cc6ebd44bac30fb6,2067c9f758d4dafa75704122593fb4e2ca96b57451b86522dc3dd8e229223aea,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,17,806ba9c7b39831f35ed7138c508cde971ef7fda83d701ce0733e59597a2fcf69,806ba9c7b39831f35ed7138c508cde971ef7fda83d701ce0733e59597a2fcf69,ae6933d5fb0e95e0a59404feb9b5896e4fdb271d7ebc9ee247ac8cfc1f882316,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,43,2d65d9090cbefd50c32dec56ddbe115118986e1e135976506e39a98fc4760ca0,2d65d9090cbefd50c32dec56ddbe115118986e1e135976506e39a98fc4760ca0,67b84f7c2ac00af7fb6df1bad3d711661e960388101eca1014c1fa5cd26e51c9,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,64,4c6fc6620e7321be347ae5641ed521061489a572928ee817e58403266bac631d,4c6fc6620e7321be347ae5641ed521061489a572928ee817e58403266bac631d,c9298de10ebde24d3f9009d4da9fac141f2022f8540fffa66fd7f1b38f1121ab,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_a33293aed71af35e5fdcacda,sv_3d03d28bc829c1fe13f0ac27,ea_64b9b945daf90422e5402f06,WHR,WHR-WHIRLPOOL CORP-2019,78,0f97c08af8f3084dec313c961b66e343c29b8617eb470261cb91367339f11e83,0f97c08af8f3084dec313c961b66e343c29b8617eb470261cb91367339f11e83,e8e3af5779877617766916c27edd927a6a75f40f3817dce26488aa7b0243e91d,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:02:22.492680+00:00,true
ls_1b7bc8879ace278588a0f4ba,sv_a97f27d5ed6a2157d8e99db6,ea_0f356a4587c6c7a5e3be4c49,VVV,VVV-VALVOLINE INC-2024,22,9c8566a0076b2a8a79572ab7f77985822f2110e6c74e6aab8fce74d8f27cd007,9c8566a0076b2a8a79572ab7f77985822f2110e6c74e6aab8fce74d8f27cd007,07c0c767979b0397870d080640d4d0400bc7050214b49577e306ff00053a15c2,cid_artifact,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:03:00.032601+00:00,true
ls_376ecad7db4a44f748159671,sv_931402f21e3a3d19abfb36b4,ea_0e7bf23496e80301f557ba9f,AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2024,6,08b790328c6512a3c8cfac1c3163521f41169244d0e8f09e4cfb90391c1fc438,08b790328c6512a3c8cfac1c3163521f41169244d0e8f09e4cfb90391c1fc438,1ccaf885e2d3275f1e9242921a442d1bf1937d4d7d4620912e7487116d341e92,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:03:43.567821+00:00,true
ls_9bfd2496a0a50354fccd33ea,sv_4e4cd307ca0ca61388b38d0b,ea_457743175e8000cc0ab85d91,CRI,CRI-CARTER'S INC-2021,63,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,69ece58545388535646761b82409f92fcf3f5354c5c4341ba64f48227ec2fffa,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:04:18.683595+00:00,true
ls_023ecfd06d7df3c8af8e17d0,sv_2fb31ae3419d11f447eae1c2,ea_7a7a31b3eecf2793b27b958c,MELI,MELI-MERCADOLIBRE-2024,95,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:04:40.882320+00:00,false
ls_f8772efd52ead956f3c5e6cd,sv_a68765b440420678eb259ec8,ea_424317dddc598d5dbf80c8dc,AAPL,AAPL-APPLE INC-2016,55,ace1ce575d53f75d7f4622f4e5b9b06af2ffa05b46620afe2ac7a5ff706ffcbd,ace1ce575d53f75d7f4622f4e5b9b06af2ffa05b46620afe2ac7a5ff706ffcbd,c504c704a67081d3e4059825112cedff4fdfbb9f4b96f7dd5f06ed9719093cf3,cid_artifact,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:05:28.154554+00:00,true
ls_f8772efd52ead956f3c5e6cd,sv_a68765b440420678eb259ec8,ea_424317dddc598d5dbf80c8dc,AAPL,AAPL-APPLE INC-2016,56,ee0b2f16708339857c012a2dd603c00753f5fc7aaad65a5a7e9649cffcfa8455,ee0b2f16708339857c012a2dd603c00753f5fc7aaad65a5a7e9649cffcfa8455,672fed780ee3401869037abc1aad407e6ebd040531881d3154c7acf6fd0d1fb4,cid_artifact,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:05:28.154554+00:00,true
