accession_number,ticker,last_checked_at,n_filings_known,download_status,drive_file_id
0001628280-24-014351,CURV,2026-06-30T10:43:46.580194+00:00,1,downloaded,1hcRTVXjeP8VnrFCx6DpOTMxQXbpUj1mT
0001856437-26-000004,VSXY,2026-06-30T10:43:51.858955+00:00,1,downloaded,1rDccy37OreksSjsyU4b8Hqm1cmVAMfmr
0001856437-25-000006,VSXY,2026-06-30T10:44:00.026819+00:00,1,downloaded,1vGKz3RMvpg9-aww7RlEm91sEKxDRxD0v
0001856437-24-000005,VSXY,2026-06-30T10:44:04.639483+00:00,1,downloaded,1-eKJPu6WfDhcULHkR1VL0iTJzyuM-bUF
0001865107-26-000008,AKA,2026-06-30T10:44:09.247154+00:00,1,downloaded,1Qgwi2ps1TPR2AoKNOGmhv8srzicBBp7Y
0001865107-25-000016,AKA,2026-06-30T10:44:16.444366+00:00,1,downloaded,1FepYzplkuOajYCMnhevFlRD_xz_193fh
0001865107-24-000010,AKA,2026-06-30T10:44:20.682513+00:00,1,downloaded,1j1lBY9z7lkdDVr9uWzPRMpw-mxdB1ehU
0001104659-26-036884,LVLU,2026-06-30T10:44:25.212660+00:00,1,downloaded,1boZfHJLzz6IUewjRhSm9gn8nX9zL-RiC
0001558370-25-003845,LVLU,2026-06-30T10:44:32.397037+00:00,1,downloaded,1c1b8jCWuCuB4_AeyA6vMxdYjH7YDnlzj
0001558370-24-002599,LVLU,2026-06-30T10:44:40.648102+00:00,1,downloaded,1zXw9cjUltVCUgjv2RbhgvSETWpG5n-rI
0001018840-26-000012,ANF,2026-06-30T10:44:47.179278+00:00,1,downloaded,1h2P2UVEdOr-j2ro3vYoY3OGxwECVvbl8
0001018840-25-000013,ANF,2026-06-30T10:44:58.245429+00:00,1,downloaded,1OnATTNUQSxcPtwpn3CFW8CW8yj7kTMKm
0001018840-24-000019,ANF,2026-06-30T10:45:03.317105+00:00,1,downloaded,1fV49Ls_Ga2b5FrvGcb9Ixg8btgLwtuJE
0001628280-26-024672,PLCE,2026-06-30T10:45:09.825574+00:00,1,downloaded,10UXK0FU-oIj14UoY5MIr1WIYmZDTjiPL
0001628280-25-018195,PLCE,2026-06-30T10:45:16.524366+00:00,1,downloaded,1P9UHxQ0eFuNaEHjmvQnKCcrFW1WJDKve
0001628280-24-020436,PLCE,2026-06-30T10:45:20.756506+00:00,1,downloaded,1aMuRykSx2ksVIL2bhuPu2XZLxQ5BWjKT
0001104659-26-043813,CTRN,2026-06-30T10:45:25.299003+00:00,1,downloaded,14DMI6TJQf6exPL4wgh1ETy_XwgWWEaeq
0001558370-25-004897,CTRN,2026-06-30T10:45:31.589264+00:00,1,downloaded,19oB4_6p1DyOdze6ByzQKqcvie6GeIcN6
0001558370-24-005294,CTRN,2026-06-30T10:45:36.366262+00:00,1,downloaded,11IOlOX9Nz3hIwaIfd7mcQOBUbUwoJnTb
0001193125-26-104063,ZUMZ,2026-06-30T10:45:40.576683+00:00,1,downloaded,1gKKMexn2gX2LNMIXitxbvumyGd_YgBxJ
0000950170-25-038692,ZUMZ,2026-06-30T10:45:48.163037+00:00,1,downloaded,1fBvV3yw19xvzYMZCjE8SR0hkBL8TomGU
0000950170-24-031449,ZUMZ,2026-06-30T10:45:54.706397+00:00,1,downloaded,1_3cLkhVy3s1ltATUwmd4EzAYDflsrykr
0001104659-26-043348,XELB,2026-06-30T10:46:00.014942+00:00,1,downloaded,1adXf6Lknp3dvIiYt9Mk_71leqZ19jqpJ
0001558370-25-008172,XELB,2026-06-30T10:46:07.768540+00:00,1,downloaded,1DRXO2b96Yc52zKnDTctMc9FTj9beQshh
0001558370-24-005326,XELB,2026-06-30T10:46:13.140025+00:00,1,downloaded,1Hf-ut_qylr85MhOo7v5ZX2YCCRCI0YU4
0000014707-26-000053,CAL,2026-06-30T10:46:18.443565+00:00,1,downloaded,1Iy4GjiXHld7njevsGVuZvhx8zKPL1OGQ
0000014707-25-000017,CAL,2026-06-30T10:46:27.088437+00:00,1,downloaded,1PM3fe0LsBV6TayoX7ANIdWijvVjyHWgD
0000014707-24-000012,CAL,2026-06-30T10:46:33.487145+00:00,1,downloaded,1NEtKvxsAV9pOE9VkhQruYdwQHh58keQ5
0001193125-26-123492,GCO,2026-06-30T10:46:40.334469+00:00,1,downloaded,1dY0nhGtDtygnI5i90lWbTZJIQWN33XyB
0000950170-25-044864,GCO,2026-06-30T10:46:48.329682+00:00,1,downloaded,1AtCl-LVGBVuQtw5gUE0il0pRj3fNyn0o
0000950170-24-036902,GCO,2026-06-30T10:46:55.479750+00:00,1,downloaded,1CUVvRN6TWYX7gr_GxJtFb9gzn4OJBq9S
0001437749-25-009620,FL,2026-06-30T10:47:02.477849+00:00,1,downloaded,1rUUc3DO_4j1fFc_nXyPrQbH5caa3-DPR
0001437749-24-009866,FL,2026-06-30T10:47:10.072615+00:00,1,downloaded,1bd23Wp4bMgdCZNi2eTYaFQMf9QrJ5SQo
0000850209-23-000006,FL,2026-06-30T10:47:15.842719+00:00,1,downloaded,1GWQw6kdFVeJtPuoYAG_uiulMLa5FQsCR
0001104659-26-061346,BOOT,2026-06-30T10:47:22.455912+00:00,1,downloaded,1aoro6R7xRj5pvIdCNFKP0DXvdgGZ50HA
0001558370-25-007889,BOOT,2026-06-30T10:47:30.453209+00:00,1,downloaded,18u2NRyLS27mMr9e3qRC6ixiX0QOFDfyR
0001558370-24-008176,BOOT,2026-06-30T10:47:34.824872+00:00,1,downloaded,1drZoV_w66vA8P1_l35b47WCy0pzLMXTX
0001319947-26-000022,DBI,2026-06-30T10:47:44.474105+00:00,1,downloaded,152b05iOwgVuifbPLQzrTW3PHpasUoxqx
0001319947-25-000012,DBI,2026-06-30T10:47:56.016356+00:00,1,downloaded,1_p4pDInTnzM8n7L6zpNcwesvGysDdsQe
0001319947-24-000011,DBI,2026-06-30T10:48:02.832816+00:00,1,downloaded,1PetadDKgo8aClg15fWV38Y-AL3hoBtxj
0001193125-26-126279,SHOE,2026-06-30T10:48:07.377596+00:00,1,downloaded,19yM6I2IaH-uAcdycHrkSl1f1QIsubLdi
0000950170-25-043195,SHOE,2026-06-30T10:48:15.444063+00:00,1,downloaded,1cIu30JuSqRXDv3wUDR68rhEwW4XkbJiJ
0000950170-24-035337,SHOE,2026-06-30T10:48:21.358253+00:00,1,downloaded,1uROcBvpX3zqhU-4NYySN1JNiIP1-EGlM
0001437749-26-006653,SGC,2026-06-30T10:48:26.171243+00:00,1,downloaded,1auS_S6Jxt3cOV6kfLEQ9td3Af0TlkjZL
0001437749-25-007055,SGC,2026-06-30T10:48:32.583467+00:00,1,downloaded,1nNrpAUCxIA3741A5Yx0Qxqec4Hbno8yn
0001437749-24-007685,SGC,2026-06-30T10:48:41.944672+00:00,1,downloaded,1o7-uF2pI4o_fWqaA3CYcC2Llw3XqfibP
0000103379-26-000030,VFC,2026-06-30T10:48:47.081840+00:00,1,downloaded,19KXG0XoFzFBD0tTiqchCr3uyhYaqvGMn
0000103379-25-000023,VFC,2026-06-30T10:48:55.500665+00:00,1,downloaded,1PzFUza2f3bdUIvIIYT4wnhsx6ajQtlUF
0000103379-24-000008,VFC,2026-06-30T10:49:01.556951+00:00,1,downloaded,11pC5zVBnT_PzpGkHdo5eYWdBQhtDPev1
0000075288-26-000026,OXM,2026-06-30T10:49:08.181019+00:00,1,downloaded,1ZUQmsSFjA-BX88FvFyV7PGketbocm9xm
0000075288-25-000033,OXM,2026-06-30T10:49:14.894753+00:00,1,downloaded,1jZnBQ5Kflse0dePu46sT2lYzTp2u2yOT
0000075288-24-000003,OXM,2026-06-30T10:49:19.492737+00:00,1,downloaded,1kgZi23ZlSVwNU09YRJbexyt9NBocWQ2V
0000078239-26-000021,PVH,2026-06-30T10:49:25.046642+00:00,1,downloaded,1SkbgVyjy5IgV1pVnSkgS4Gu-SVlR-TBV
0000078239-25-000018,PVH,2026-06-30T10:49:31.784551+00:00,1,downloaded,1TwsONj4wl7kyXffshXN31HL1vcy-No66
0000078239-24-000013,PVH,2026-06-30T10:49:40.113409+00:00,1,downloaded,149rIZQDOg-l2MtVhJJWb8QaimPtj4wA6
0000094845-26-000008,LEVI,2026-06-30T10:49:45.917398+00:00,1,downloaded,1E-wGny_EpeVHrsP4pPOYME0poWT7I2vD
0000094845-25-000005,LEVI,2026-06-30T10:49:56.906831+00:00,1,downloaded,1S7f3aIlIKup1MB4Afns7QxQB-HXZ708g
0000094845-24-000010,LEVI,2026-06-30T10:50:02.541748+00:00,1,downloaded,1e2hRkfgTIqhadC6uvek6UVVmjkpwQgcw
0001193125-26-158986,VNCE,2026-06-30T10:50:10.183500+00:00,1,downloaded,1YnvQYZ2aqyAxX0cI1j5dOhUHYGagDUWI
0000950170-25-062847,VNCE,2026-06-30T10:50:18.048074+00:00,1,downloaded,1wVpZtYtOuyfSLzVFKjV8anCmEHPz8ZpE
0000950170-24-052254,VNCE,2026-06-30T10:50:25.089768+00:00,1,downloaded,1kUpIM4IbGdaGNqSjXellVOkKkCr2nU4o
0001213900-26-070227,JRSH,2026-06-30T10:50:29.716693+00:00,1,downloaded,1AtWiMGTa3-bszX7GcPtl3vUbYN2UdDVL
0001213900-25-057935,JRSH,2026-06-30T10:50:35.484381+00:00,1,downloaded,1wAecCnoGPPPj_rsYvUyYGjc1rttimT4G
0001213900-24-057324,JRSH,2026-06-30T10:50:38.970649+00:00,1,downloaded,1e_vr18whr-Vi7PnEYE8hp2RD2K6NCbnS
0001760965-26-000014,KTB,2026-06-30T10:50:42.809985+00:00,1,downloaded,1tos47soEXCBOcl16_l_zhE4rphNrzHYN
0001760965-25-000011,KTB,2026-06-30T10:50:50.066956+00:00,1,downloaded,1dL-41bYqi0OJkPkeMEzdeii8DoGTgtli
0001760965-24-000013,KTB,2026-06-30T10:50:55.380587+00:00,1,downloaded,1WgxgmHhJyzroS3bDKf7HJHqM8NSF7oJm
0001628280-26-018238,PLBY,2026-06-30T10:50:59.804490+00:00,1,downloaded,1svhv8f8r1Xi7-JYiilFDwphCW36_4KPq
0001803914-25-000030,PLBY,2026-06-30T10:51:06.634841+00:00,1,downloaded,1iwnpM9xHq2KR4yGrmr5tKmqA7HNMUNsx
0001803914-24-000022,PLBY,2026-06-30T10:51:11.221209+00:00,1,downloaded,1DQKxnvq5nm3wRSgok2HenJ6nhCj3QGfz
0001628280-26-012333,FIGS,2026-06-30T10:51:15.977163+00:00,1,downloaded,1lKZetdAHqNZZ1_TkwQL0X2YtV0rk00k7
0001628280-25-008688,FIGS,2026-06-30T10:51:22.137113+00:00,1,downloaded,1RiVwbuikrwtnDt6guO9VYORcJRbTb3PH
0001628280-24-007659,FIGS,2026-06-30T10:51:26.514789+00:00,1,downloaded,1MxYI6ywjxQ8x7aTT_q5OYzb7yFidwt_R
0001628280-26-037074,RL,2026-06-30T10:51:31.165901+00:00,1,downloaded,17n4OxowuFl5L03ZSGaQgVH5xyb3MZZ-g
0001037038-25-000011,RL,2026-06-30T10:51:40.592134+00:00,1,downloaded,1Dx12Y-ak61V9pG1RfYIgymkVmSyCTIU6
0001037038-24-000014,RL,2026-06-30T10:51:46.398463+00:00,1,downloaded,13ckDEBXPdhVrBwX3IR0bsToEd-H-8Ww8
0001050797-26-000028,COLM,2026-06-30T10:51:52.103860+00:00,1,downloaded,1q-RWSj7nXDyqBs601WiHieTLY7Oo-J8g
0001050797-25-000023,COLM,2026-06-30T10:51:59.358898+00:00,1,downloaded,12k8X1T-cNld36NR7b6tBInYEHjSMJ4Gf
0001050797-24-000032,COLM,2026-06-30T10:52:04.317825+00:00,1,downloaded,1ccRIdBVzwxmBb277MqJo-NBFpKVz6UmT
0001060822-26-000016,CRI,2026-06-30T10:52:08.670384+00:00,1,downloaded,1a3cCiXZ4jfUY3PPTYmToV0uDpY8d1qfw
0001060822-25-000030,CRI,2026-06-30T10:52:15.365377+00:00,1,downloaded,1_WcwVX6ZKuEph-0_-kGc29qgw71pTW2H
0001060822-24-000062,CRI,2026-06-30T10:52:19.723476+00:00,1,downloaded,15XA0_zZDHFgZ1Sf2qfyHHYZFMIgY5npU
0001336917-26-000073,UAA,2026-06-30T10:52:24.679732+00:00,1,downloaded,1TOle1eSQt2VRK1wyIqK1t7h_6PpMVtua
0001336917-25-000078,UAA,2026-06-30T10:52:31.563635+00:00,1,downloaded,12rS-oPJSsErEOWsj_n-NrRWknOaEmOwK
0001336917-24-000073,UAA,2026-06-30T10:52:37.991350+00:00,1,downloaded,1WN64InYtcgMD7maWJzdXpu11_LKUYNUo
0001397187-26-000020,LULU,2026-06-30T10:52:43.358339+00:00,1,downloaded,1tbb8b9b9GtgCXlUDcX-FMfZvaet9FNvE
0001397187-25-000013,LULU,2026-06-30T10:52:53.303799+00:00,1,downloaded,132zkj8XIyrh82Ctw2LEyeTRCj_Lqsa1g
0001397187-24-000010,LULU,2026-06-30T10:52:57.753176+00:00,1,downloaded,1UdJLy9bqon56rlLwCc8FViyl23pPN8i9
0001104659-26-033891,GIII,2026-06-30T10:53:02.648497+00:00,1,downloaded,1YQ2cN1BIbFDh0fEGwkiVDyBv2ajNCtHx
0001558370-25-003540,GIII,2026-06-30T10:53:12.086951+00:00,1,downloaded,10snCHIU-nCrWpd-qpJNjc6TxwK71dNpS
