ticker,pdf_file,page,lines_table_area_share,lines_table_count,share_excl_frames_090,share_excl_frames_080,share_excl_frames_095,largest_table_share,largest_table_cells,n_frames_excluded_090,error
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,28,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,29,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,34,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,35,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,37,0.0315489463260051,1,0.0315489463260051,0.0315489463260051,0.0315489463260051,0.0315489463260051,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,38,0.0131487512399319,1,0.0131487512399319,0.0131487512399319,0.0131487512399319,0.0131487512399319,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,41,0.0125519135389846,1,0.0125519135389846,0.0125519135389846,0.0125519135389846,0.0125519135389846,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,47,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,48,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,49,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,51,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,54,0.0187727958336428,1,0.0187727958336428,0.0187727958336428,0.0187727958336428,0.0187727958336428,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,57,0.0164705631340639,1,0.0164705631340639,0.0164705631340639,0.0164705631340639,0.0164705631340639,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,58,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,60,0.4989160595607491,1,0.4989160595607491,0.4989160595607491,0.4989160595607491,0.4989160595607491,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,61,0.1623412270896258,1,0.1623412270896258,0.1623412270896258,0.1623412270896258,0.1623412270896258,6,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,62,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,66,0.9447550422525912,2,0.0182844540172971,0.0182844540172971,0.9447550422525912,0.9264705882352942,2,1,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,67,0.0109848193261592,1,0.0109848193261592,0.0109848193261592,0.0109848193261592,0.0109848193261592,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,68,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,70,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,71,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,74,0.5206468457037697,1,0.5206468457037697,0.5206468457037697,0.5206468457037697,0.5206468457037697,59,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,76,0.4915252021336733,1,0.4915252021336733,0.4915252021336733,0.4915252021336733,0.4915252021336733,75,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,78,0.5177435166617151,1,0.5177435166617151,0.5177435166617151,0.5177435166617151,0.5177435166617151,24,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,81,0.7134344574730145,1,0.7134344574730145,0.7134344574730145,0.7134344574730145,0.7134344574730145,22,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,82,0.7363988517218756,1,0.7363988517218756,0.7363988517218756,0.7363988517218756,0.7363988517218756,30,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,83,0.6979618163353305,1,0.6979618163353305,0.6979618163353305,0.6979618163353305,0.6979618163353305,27,0,
