company,section_code,char_count,file
ACI,Item_5,3274,data\03_sections\ACI__10-K__0001646972-26-000032__Item_5.txt
ACI,Item_6,40,data\03_sections\ACI__10-K__0001646972-26-000032__Item_6.txt
ACI,Item_7,44256,data\03_sections\ACI__10-K__0001646972-26-000032__Item_7.txt
ACI,Item_7A,2368,data\03_sections\ACI__10-K__0001646972-26-000032__Item_7A.txt
ACI,Item_8,124761,data\03_sections\ACI__10-K__0001646972-26-000032__Item_8.txt
ACI,Item_9,109,data\03_sections\ACI__10-K__0001646972-26-000032__Item_9.txt
ACI,Item_9A,3080,data\03_sections\ACI__10-K__0001646972-26-000032__Item_9A.txt
ACI,Item_9B,534,data\03_sections\ACI__10-K__0001646972-26-000032__Item_9B.txt
ACI,Item_9C,123,data\03_sections\ACI__10-K__0001646972-26-000032__Item_9C.txt
ACI,Item_10,1090,data\03_sections\ACI__10-K__0001646972-26-000032__Item_10.txt
ACI,Item_11,444,data\03_sections\ACI__10-K__0001646972-26-000032__Item_11.txt
ACI,Item_12,457,data\03_sections\ACI__10-K__0001646972-26-000032__Item_12.txt
ACI,Item_13,414,data\03_sections\ACI__10-K__0001646972-26-000032__Item_13.txt
ACI,Item_14,425,data\03_sections\ACI__10-K__0001646972-26-000032__Item_14.txt
ACI,Item_15,361,data\03_sections\ACI__10-K__0001646972-26-000032__Item_15.txt
ACI,Item_16,55,data\03_sections\ACI__10-K__0001646972-26-000032__Item_16.txt
ACI,Signatures,504,data\03_sections\ACI__10-K__0001646972-26-000032__Signatures.txt
AN,HEADER,344207,data\03_sections\AN__10-K__0000350698-24-000021__HEADER.txt
AN,Signatures,1084,data\03_sections\AN__10-K__0000350698-24-000021__Signatures.txt
AN,FULL_DOCUMENT_FALLBACK,345292,data\03_sections\AN__10-K__0000350698-24-000021__FULL_DOCUMENT_FALLBACK.txt
AN,HEADER,361157,data\03_sections\AN__10-K__0000350698-25-000029__HEADER.txt
AN,Signatures,1085,data\03_sections\AN__10-K__0000350698-25-000029__Signatures.txt
AN,FULL_DOCUMENT_FALLBACK,362243,data\03_sections\AN__10-K__0000350698-25-000029__FULL_DOCUMENT_FALLBACK.txt
AN,HEADER,366609,data\03_sections\AN__10-K__0001628280-26-007800__HEADER.txt
AN,Signatures,1085,data\03_sections\AN__10-K__0001628280-26-007800__Signatures.txt
AN,FULL_DOCUMENT_FALLBACK,367695,data\03_sections\AN__10-K__0001628280-26-007800__FULL_DOCUMENT_FALLBACK.txt
APC,HEADER,372310,data\03_sections\APC__10-K__0001193125-26-131747__HEADER.txt
APC,Signatures,145391,data\03_sections\APC__10-K__0001193125-26-131747__Signatures.txt
APC,FULL_DOCUMENT_FALLBACK,517703,data\03_sections\APC__10-K__0001193125-26-131747__FULL_DOCUMENT_FALLBACK.txt
ARHS,HEADER,27145,data\03_sections\ARHS__10-K__0001875444-24-000024__HEADER.txt
ARHS,Item_1A,142206,data\03_sections\ARHS__10-K__0001875444-24-000024__Item_1A.txt
ARHS,Item_1,35755,data\03_sections\ARHS__10-K__0001875444-24-000024__Item_1.txt
ARHS,Item_9A,12232,data\03_sections\ARHS__10-K__0001875444-24-000024__Item_9A.txt
