ticker,filename,status,old_md5,new_md5
PTRN,PTRN-Pattern Group-2023.pdf,only_in_old,e9664e52f2025c7b86ba7eeb98ca2653,
LESL,LESL-LESLIE'S INC-2023.pdf,only_in_old,be6622a277a48819b6bc59df74946740,
AMZN,AMZN-Amazon-2021.pdf,only_in_old,315b70cb9314c78bfd2bb8302cade27b,
MELI,MELI-MERCADOLIBRE-2022.pdf,only_in_old,5a56968f0d80b46424b2b9fbdd703972,
DECK,DECK-DECKERS OUTDOOR CORP-2022.pdf,only_in_old,2b67bed79ba5781fc7e28f1989d316a1,
FIGS,FIGS-FIGS INC-2023.pdf,only_in_old,99316edb259772e179f4f26bb29a9a9d,
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2022.pdf,only_in_old,7ecaf21c45fac89f4015aa7e73c93114,
SNBR,SNBR-SLEEP NUMBER CORP-2022.pdf,only_in_old,f57a4537082b8149d679829208b12034,
VFC,VFC-VF CORP-2022-2023.pdf,only_in_old,ebb41ae386472510f6f6625675ab928e,
MNRO,MNRO-MONRO INC-2021.pdf,only_in_old,f844763aeebe79daad60ff150a15cc97,
AZO,AZO-AUTOZONE INC-2022.pdf,only_in_old,633dc811fd95a17849fec06cb07ef40e,
BBY,BBY-BEST BUY CO INC-2023.pdf,only_in_old,f8f47276897c7a56ed193b49ca01d6da,
CPNG,CPNG-Coupang-2022.pdf,only_in_old,cd4b03a89252e4c3bd0935f205daabe6,
CVS,CVS-CVS HEALTH CORP-2023.pdf,only_in_old,6c740067d18d9b3fc07f58e9d8830ed2,
KTB,KTB-KONTOOR BRANDS INC-2024.pdf,only_in_old,804b4037dadd3acb3dd40dfbef0b8da2,
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf,only_in_old,743b4fd336a783eeaea2a91946931ab1,
TPR,TPR-TAPESTRY INC-2024.pdf,only_in_old,5e59b7c3727691dbc77f53e14c03202a,
SNBR,SNBR-SLEEP NUMBER CORP-2021.pdf,only_in_old,3d41906867b7d9b9ce6a555c310cadb0,
WMT,WMT-WALMART INC-2021.pdf,only_in_old,3224156457b254c05be1293afec039e7,
HD,HD-HOME DEPOT INC-2021.pdf,only_in_old,e41b4860dc9f11da84d9e6978eaef276,
AN,AN-AUTONATION INC-2025.pdf,only_in_old,5f6f8404054a07dba54d376de2f9999b,
LULU,LULU-LULULEMON ATHLETICA INC-2021.pdf,only_in_old,e6114ce65679f53dec0d6c81586245de,
ROST,ROST-ROSS STORES INC-2024.pdf,only_in_old,d8e35b604f24d413de5b2bb3187f2c78,
FIVE,FIVE-FIVE BELOW INC-2022.pdf,only_in_old,a1c70d545744417a108fb6f4813b5367,
GES,GES-GUESS-2024.pdf,only_in_old,dd48c305f018171941c4b6b71afe7e04,
GII,GII-G-III APPAREL GROUP LTD-2024.pdf,only_in_old,17095d4b0e4ec42b80592b18e2a01a05,
HVT,HVT-HAVERTY FURNITURE-2024.pdf,only_in_old,221cb022493d12fb4ae6bfdc390ab5a3,
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf,only_in_old,fa9acf42c8bc3785e720508e212e7eee,
CPNG,CPNG-Coupang-2023.pdf,only_in_old,e49dea22a93a5d0be6112ab28e5238e1,
CVS,CVS-CVS HEALTH CORP-2022.pdf,only_in_old,601cfab319d9110189bd3fb6db7fa1fb,
LESL,LESL-LESLIE'S INC-2022.pdf,only_in_old,648d3f447f78460cf8d94b234e733afe,
KMX,KMX-CARMAX INC-2024.pdf,only_in_old,83a3289ac8a0e9382bf237480585c238,
MOV,MOV-MOVADO GROUP INC-2022.pdf,only_in_old,71c3fac72fb9b4287ff437c0a731435f,
TJX,TJX-Tjx Cos Inc-2025.pdf,only_in_old,0533b7ca39f988acfca97bec60c27973,
CURV,CURV-TORRID HOLDINGS-2023.pdf,only_in_old,14ddd3912680a027905c6702d3ffcded,
VSXY,VSXY-Victorias Secret-2023.pdf,only_in_old,9b065b85f862fd38f414167d73f40627,
SNBR,SNBR-SLEEP NUMBER CORP-2024.pdf,only_in_old,31028dab093ac84b5bd000dc56e67286,
GAP,GAP-GAP-2022.pdf,only_in_old,1316aa6f9942d61ce5f8c1b72047f37c,
LE,LE-Lands End-2024.pdf,only_in_old,e02c0152741c83a4de225c0521f11a49,
EYE,EYE-NATIONAL VISION HOLDINGS INC-2023.pdf,only_in_old,4bd19796ea01079ae0d27397793b422e,
WWW,WWW-WOLVERINE WORLD WIDE-2021.pdf,only_in_old,e6a42106787d3732e8a1d47f389681b3,
FIGS,FIGS-FIGS INC-2025.pdf,only_in_old,42b902b35763769ff62e947c11195f6d,
AMZN,AMZN-Amazon-2022.pdf,only_in_old,78f8c6b31bcdfa60d10cb46898df070e,
PSMT,PSMT-PRICESMART INC-2024.pdf,only_in_old,ec8114a340ca81cb577752a7c3b029f8,
BURL,BURL-Burlington Stores-2022.pdf,only_in_old,65f40835c38b1c0dae718afec5639cfa,
GII,GII-G-III APPAREL GROUP LTD-2023.pdf,only_in_old,aaaca723605db735dc3d4204bae954c2,
KR,KR-KROGER CO-2021.pdf,only_in_old,f875fda843a4fd6c0bc736fe686cb905,
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2025.pdf,only_in_old,928cb28bf7cd8b5b8f144ee880ce8848,
UAA,UAA-UNDER ARMOUR INC-2021.pdf,only_in_old,33c672e241a6329ea3f98ae1c7af8720,
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2021.pdf,only_in_old,63392b883ce8abdbeb39d26334fb9636,
SONO,SONO-SONOS INC-2023.pdf,only_in_old,6ad2534ec2148c16df92bef7bdd59a80,
VVV,VVV-VALVOLINE INC-2024.pdf,only_in_old,109c995752d5cc7d69cadd5f6aa37724,
M,M-MACY'S INC-2025.pdf,only_in_old,3843f2a8f12c306413b7fdbb9e2e1061,
WMT,WMT-WALMART INC-2023.pdf,only_in_old,6d105a6d496b39c6a0a92f5d03d424a6,
MNRO,MNRO-MONRO INC-2022.pdf,only_in_old,64ea7fb98cd09afc144a81c9d63478ed,
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2022.pdf,only_in_old,a9e6f9487b65b76c1ce28afa7d8670b9,
JILL,JILL-J.Jill-2024.pdf,only_in_old,bc3e93b6b1f66c29dab7fdd3e55add35,
CROX,CROX-CROCS INC-2024.pdf,only_in_old,da7c044427599b28256f3e1fd3785b74,
VSXY,VSXY-Victorias Secret-2025.pdf,only_in_old,fc616498173e02b6a95d73e81445ba6c,
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2025.pdf,only_in_old,8643344d581295f2ab2b36d118ed3ee7,
NKE,NKE-NIKE INC -CL B-2021.pdf,only_in_old,9fdacd298735161aafe4413fcb83f5d3,
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2024.pdf,only_in_old,8c092f11e4a2a97b3a7037985af1ce78,
KR,KR-KROGER CO-2022.pdf,only_in_old,ce27d7e00ef0c24c16c89419b1608b35,
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2024.pdf,only_in_old,ac050f4aacf8b25d654595341fc3d11e,
